track_id,enter_ts,exit_ts,dwell_seconds,enter_iso,exit_iso
116,1780327462.285743,1780327462.989428,0.7,2026-06-01T15:24:22+00:00,2026-06-01T15:24:22+00:00
114,1780327462.285743,1780327462.338308,0.05,2026-06-01T15:24:22+00:00,2026-06-01T15:24:22+00:00
117,1780327462.338308,1780327462.440758,0.1,2026-06-01T15:24:22+00:00,2026-06-01T15:24:22+00:00
118,1780327462.338308,1780327462.638318,0.3,2026-06-01T15:24:22+00:00,2026-06-01T15:24:22+00:00
119,1780327462.414704,1780327487.5510101,25.14,2026-06-01T15:24:22+00:00,2026-06-01T15:24:47+00:00
120,1780327462.514843,1780327462.7153192,0.2,2026-06-01T15:24:22+00:00,2026-06-01T15:24:22+00:00
122,1780327462.638318,1780327462.638318,0.0,2026-06-01T15:24:22+00:00,2026-06-01T15:24:22+00:00
123,1780327462.689506,1780327472.2698119,9.58,2026-06-01T15:24:22+00:00,2026-06-01T15:24:32+00:00
129,1780327462.816457,1780327477.7463858,14.93,2026-06-01T15:24:22+00:00,2026-06-01T15:24:37+00:00
131,1780327462.8420029,1780327472.758673,9.92,2026-06-01T15:24:22+00:00,2026-06-01T15:24:32+00:00
133,1780327462.867255,1780327468.205606,5.34,2026-06-01T15:24:22+00:00,2026-06-01T15:24:28+00:00
132,1780327462.867255,1780327477.640875,14.77,2026-06-01T15:24:22+00:00,2026-06-01T15:24:37+00:00
136,1780327463.168444,1780327467.733691,4.57,2026-06-01T15:24:23+00:00,2026-06-01T15:24:27+00:00
137,1780327467.171585,1780327483.3418171,16.17,2026-06-01T15:24:27+00:00,2026-06-01T15:24:43+00:00
138,1780327467.171585,1780327493.290972,26.12,2026-06-01T15:24:27+00:00,2026-06-01T15:24:53+00:00
82,1780327467.220588,1780327467.298273,0.08,2026-06-01T15:24:27+00:00,2026-06-01T15:24:27+00:00
102,1780327467.2463932,1780327468.0691788,0.82,2026-06-01T15:24:27+00:00,2026-06-01T15:24:28+00:00
141,1780327467.375158,1780327467.375158,0.0,2026-06-01T15:24:27+00:00,2026-06-01T15:24:27+00:00
143,1780327467.508008,1780327477.430105,9.92,2026-06-01T15:24:27+00:00,2026-06-01T15:24:37+00:00
146,1780327467.940777,1780327487.7316039,19.79,2026-06-01T15:24:27+00:00,2026-06-01T15:24:47+00:00
149,1780327468.09615,1780327472.8820832,4.79,2026-06-01T15:24:28+00:00,2026-06-01T15:24:32+00:00
154,1780327472.3234718,1780327472.758673,0.44,2026-06-01T15:24:32+00:00,2026-06-01T15:24:32+00:00
102,1780327472.3234718,1780327477.53583,5.21,2026-06-01T15:24:32+00:00,2026-06-01T15:24:37+00:00
152,1780327472.3234718,1780327493.4452631,21.12,2026-06-01T15:24:32+00:00,2026-06-01T15:24:53+00:00
133,1780327472.400766,1780327477.8505259,5.45,2026-06-01T15:24:32+00:00,2026-06-01T15:24:37+00:00
136,1780327472.424927,1780327477.274036,4.85,2026-06-01T15:24:32+00:00,2026-06-01T15:24:37+00:00
156,1780327472.5534668,1780327472.5534668,0.0,2026-06-01T15:24:32+00:00,2026-06-01T15:24:32+00:00
158,1780327473.022006,1780327483.262294,10.24,2026-06-01T15:24:33+00:00,2026-06-01T15:24:43+00:00
161,1780327473.24953,1780327477.56165,4.31,2026-06-01T15:24:33+00:00,2026-06-01T15:24:37+00:00
101,1780327477.326833,1780327478.0884612,0.76,2026-06-01T15:24:37+00:00,2026-06-01T15:24:38+00:00
163,1780327477.353441,1780327478.0618129,0.71,2026-06-01T15:24:37+00:00,2026-06-01T15:24:38+00:00
149,1780327477.456993,1780327482.9780421,5.52,2026-06-01T15:24:37+00:00,2026-06-01T15:24:42+00:00
167,1780327477.824928,1780327482.681691,4.86,2026-06-01T15:24:37+00:00,2026-06-01T15:24:42+00:00
168,1780327477.824928,1780327497.897706,20.07,2026-06-01T15:24:37+00:00,2026-06-01T15:24:57+00:00
170,1780327477.876689,1780327478.2939389,0.42,2026-06-01T15:24:37+00:00,2026-06-01T15:24:38+00:00
175,1780327478.0618129,1780327517.689991,39.63,2026-06-01T15:24:38+00:00,2026-06-01T15:25:17+00:00
176,1780327478.0884612,1780327478.241618,0.15,2026-06-01T15:24:38+00:00,2026-06-01T15:24:38+00:00
180,1780327482.319206,1780327502.743553,20.42,2026-06-01T15:24:42+00:00,2026-06-01T15:25:02+00:00
170,1780327482.3458738,1780327482.3458738,0.0,2026-06-01T15:24:42+00:00,2026-06-01T15:24:42+00:00
163,1780327482.656563,1780327497.738959,15.08,2026-06-01T15:24:42+00:00,2026-06-01T15:24:57+00:00
187,1780327483.368649,1780327488.317507,4.95,2026-06-01T15:24:43+00:00,2026-06-01T15:24:48+00:00
158,1780327487.43938,1780327487.46875,0.03,2026-06-01T15:24:47+00:00,2026-06-01T15:24:47+00:00
137,1780327487.652471,1780327488.396089,0.74,2026-06-01T15:24:47+00:00,2026-06-01T15:24:48+00:00
192,1780327487.984886,1780327493.136996,5.15,2026-06-01T15:24:47+00:00,2026-06-01T15:24:53+00:00
196,1780327488.187968,1780327488.317507,0.13,2026-06-01T15:24:48+00:00,2026-06-01T15:24:48+00:00
197,1780327488.2638159,1780327488.290217,0.03,2026-06-01T15:24:48+00:00,2026-06-01T15:24:48+00:00
198,1780327492.436734,1780327498.3164082,5.88,2026-06-01T15:24:52+00:00,2026-06-01T15:24:58+00:00
199,1780327492.462589,1780327518.102675,25.64,2026-06-01T15:24:52+00:00,2026-06-01T15:25:18+00:00
200,1780327492.539594,1780327492.5900202,0.05,2026-06-01T15:24:52+00:00,2026-06-01T15:24:52+00:00
201,1780327492.5900202,1780327512.989681,20.4,2026-06-01T15:24:52+00:00,2026-06-01T15:25:12+00:00
204,1780327492.87692,1780327492.955084,0.08,2026-06-01T15:24:52+00:00,2026-06-01T15:24:52+00:00
205,1780327492.979904,1780327493.239362,0.26,2026-06-01T15:24:52+00:00,2026-06-01T15:24:53+00:00
206,1780327493.032727,1780327497.738959,4.71,2026-06-01T15:24:53+00:00,2026-06-01T15:24:57+00:00
210,1780327493.239362,1780327498.105263,4.87,2026-06-01T15:24:53+00:00,2026-06-01T15:24:58+00:00
205,1780327497.47574,1780327498.054064,0.58,2026-06-01T15:24:57+00:00,2026-06-01T15:24:58+00:00
216,1780327497.530733,1780327498.0014982,0.47,2026-06-01T15:24:57+00:00,2026-06-01T15:24:58+00:00
